album_id,album_name,album_type,artists,release_year,release_date,cover_album,total_tracks,available_markets,total_available_markets,album_uri
7KMOq7APYdd8Mo8A2ViJNa,A State Of Trance Episode 425,album,Armin van Buuren ASOT Radio,2009,2009-10-08,https://i.scdn.co/image/ab67616d0000b273e90f3705203a6e89b9d986d3,16,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:7KMOq7APYdd8Mo8A2ViJNa
7fZ4RfJchClFVgI8KiK5A0,Utopia,single,Within Temptation,2009,2009-10-22,https://i.scdn.co/image/ab67616d0000b273f381d6858fd6d4e523437117,2,"AD,AR,AT,BE,BG,BO,BR,CH,CO,CR,CY,CZ,DK,DO,DZ,EC,EE,ES,FI,FR,GR,GT,HK,HN,HU,IL,IN,IS,IT,LI,LT,LU,LV,MA,MC,MT,MX,NI,NL,NO,PA,PE,PL,PT,PY,RO,SE,SK,SV,TN,TR,TW,UY,VN",54,spotify:album:7fZ4RfJchClFVgI8KiK5A0
14wXAj2FlTt9UNoA0qdRlX,An Acoustic Night At The Theatre,album,Within Temptation,2009,2009-11-02,https://i.scdn.co/image/ab67616d0000b27312bc3c383be775e987a9e0c9,13,"AD,AE,AR,BE,BG,BH,BO,BR,CL,CO,CR,CY,CZ,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GR,GT,HK,HN,HU,IL,IN,IS,IT,JO,KW,LB,LT,LU,LV,MA,MC,MT,MX,NI,NL,NO,OM,PA,PE,PL,PS,PT,PY,QA,RO,SA,SE,SK,SV,TN,TR,TW,US,UY,VN",63,spotify:album:14wXAj2FlTt9UNoA0qdRlX
4tnIylIZsvcpWRkiCyWeM9,An Acoustic Night at the Theatre (Live),album,Within Temptation,2009,2009-11-02,https://i.scdn.co/image/ab67616d0000b273afb55070d2dace435bab0258,12,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:4tnIylIZsvcpWRkiCyWeM9
1HO992X4um8z1uvkYtPc0q,The Temptation Within,single,Steve Birch,2009,2009-12-07,https://i.scdn.co/image/ab67616d0000b27339962b4ea1d9ee1717a4cf6f,4,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:1HO992X4um8z1uvkYtPc0q
7D2ykt87GN4op2jLe5K4sc,Faster,single,Within Temptation,2011,2011-03-11,https://i.scdn.co/image/ab67616d0000b273ec62860894235369b3127005,2,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,UY,VN,ZA",77,spotify:album:7D2ykt87GN4op2jLe5K4sc
19lclE5bq4z7CYf5svVWPr,The Unforgiving,single,Within Temptation,2011,2011-03-18,https://i.scdn.co/image/ab67616d0000b273b1348c68194165bafcfdfabc,5,NL,1,spotify:album:19lclE5bq4z7CYf5svVWPr
1tlnNem19ENnRvFalZqxLK,The Unforgiving,album,Within Temptation,2011,2011-03-25,https://i.scdn.co/image/ab67616d0000b273d85125df7939073fbc1b956e,13,"AD,AR,BE,BG,BO,BR,CL,CO,CR,CY,CZ,DK,DO,DZ,EC,EE,ES,FI,FR,GR,GT,HK,HN,HU,IL,IN,IS,IT,LT,LU,LV,MA,MC,MT,MX,NI,NL,NO,PA,PE,PL,PT,PY,RO,SE,SK,SV,TN,TR,TW,UY,VN",52,spotify:album:1tlnNem19ENnRvFalZqxLK
6N2Dn0OZ8KUDLsRqdToPcc,The Unforgiving,album,Within Temptation,2011,2011-03-28,https://i.scdn.co/image/ab67616d0000b2737dff5fe249a4196c490242ad,12,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:6N2Dn0OZ8KUDLsRqdToPcc
1hJWAauv9FNdP8yUlWSDwp,The Unforgiving,album,Within Temptation,2011,2011-03-29,https://i.scdn.co/image/ab67616d0000b273e0a3774cd8e84df9fccf0c14,12,"BG,IL,PL,RO",4,spotify:album:1hJWAauv9FNdP8yUlWSDwp
